timestamp,season,demand_kwh,pv_production_kwh,price_buy_eur_kwh,price_sell_eur_kwh
2019-10-07 00:00:00,autumn,8.5476,0.0,0.18,0.09
2019-10-07 01:00:00,autumn,8.5186,0.0,0.18,0.09
2019-10-07 02:00:00,autumn,8.4814,0.0,0.18,0.09
2019-10-07 03:00:00,autumn,8.5237,0.0,0.18,0.09
2019-10-07 04:00:00,autumn,8.8247,0.0,0.18,0.09
2019-10-07 05:00:00,autumn,9.5201,0.0,0.18,0.09
2019-10-07 06:00:00,autumn,10.3683,0.0,0.18,0.09
2019-10-07 07:00:00,autumn,10.7276,0.7276,0.18,0.09
2019-10-07 08:00:00,autumn,12.6245,5.6546,0.22,0.11
2019-10-07 09:00:00,autumn,11.6482,12.3584,0.22,0.11
2019-10-07 10:00:00,autumn,10.8548,19.0418,0.22,0.11
2019-10-07 11:00:00,autumn,10.4964,24.1855,0.22,0.11
2019-10-07 12:00:00,autumn,10.4442,26.5452,0.22,0.11
2019-10-07 13:00:00,autumn,10.5216,25.4035,0.22,0.11
2019-10-07 14:00:00,autumn,10.6439,20.8489,0.22,0.11
2019-10-07 15:00:00,autumn,10.7995,13.9072,0.22,0.11
2019-10-07 16:00:00,autumn,11.0205,6.4199,0.22,0.11
2019-10-07 17:00:00,autumn,11.3535,0.8168,0.22,0.11
2019-10-07 18:00:00,autumn,11.7864,0.0,0.22,0.11
2019-10-07 19:00:00,autumn,9.7767,0.0,0.22,0.11
2019-10-07 20:00:00,autumn,9.905,0.0,0.22,0.11
2019-10-07 21:00:00,autumn,9.6644,0.0,0.18,0.09
2019-10-07 22:00:00,autumn,9.1741,0.0,0.18,0.09
2019-10-07 23:00:00,autumn,8.6645,0.0,0.18,0.09
2019-10-08 00:00:00,autumn,8.1111,0.0,0.18,0.09
2019-10-08 01:00:00,autumn,8.0102,0.0,0.18,0.09
2019-10-08 02:00:00,autumn,7.957,0.0,0.18,0.09
2019-10-08 03:00:00,autumn,8.041,0.0,0.18,0.09
2019-10-08 04:00:00,autumn,8.437,0.0,0.18,0.09
2019-10-08 05:00:00,autumn,9.2699,0.0,0.18,0.09
2019-10-08 06:00:00,autumn,10.2833,0.0,0.18,0.09
2019-10-08 07:00:00,autumn,10.8171,0.708,0.18,0.09
2019-10-08 08:00:00,autumn,12.8786,5.5017,0.22,0.11
2019-10-08 09:00:00,autumn,12.039,12.0264,0.22,0.11
2019-10-08 10:00:00,autumn,11.3392,18.5386,0.22,0.11
2019-10-08 11:00:00,autumn,11.0212,23.5607,0.22,0.11
2019-10-08 12:00:00,autumn,10.9514,25.8766,0.22,0.11
2019-10-08 13:00:00,autumn,10.9556,24.7787,0.22,0.11
2019-10-08 14:00:00,autumn,10.9569,20.3457,0.22,0.11
2019-10-08 15:00:00,autumn,10.9569,13.5753,0.22,0.11
2019-10-08 16:00:00,autumn,11.0051,6.267,0.22,0.11
2019-10-08 17:00:00,autumn,11.1669,0.7972,0.22,0.11
2019-10-08 18:00:00,autumn,11.4492,0.0,0.22,0.11
2019-10-08 19:00:00,autumn,9.3261,0.0,0.22,0.11
2019-10-08 20:00:00,autumn,9.3905,0.0,0.22,0.11
2019-10-08 21:00:00,autumn,9.1426,0.0,0.18,0.09
2019-10-08 22:00:00,autumn,8.7025,0.0,0.18,0.09
2019-10-08 23:00:00,autumn,8.2951,0.0,0.18,0.09
2019-10-09 00:00:00,autumn,7.8765,0.0,0.18,0.09
2019-10-09 01:00:00,autumn,7.9425,0.0,0.18,0.09
2019-10-09 02:00:00,autumn,8.0636,0.0,0.18,0.09
2019-10-09 03:00:00,autumn,8.3103,0.0,0.18,0.09
2019-10-09 04:00:00,autumn,8.8393,0.0,0.18,0.09
2019-10-09 05:00:00,autumn,9.7609,0.0,0.18,0.09
2019-10-09 06:00:00,autumn,10.8089,0.0,0.18,0.09
2019-10-09 07:00:00,autumn,11.3195,0.5576,0.18,0.09
2019-10-09 08:00:00,autumn,13.3024,4.3285,0.22,0.11
2019-10-09 09:00:00,autumn,12.3376,9.4801,0.22,0.11
2019-10-09 10:00:00,autumn,11.4798,14.6785,0.22,0.11
2019-10-09 11:00:00,autumn,10.9882,18.7681,0.22,0.11
2019-10-09 12:00:00,autumn,10.7486,20.7479,0.22,0.11
2019-10-09 13:00:00,autumn,10.6051,19.9861,0.22,0.11
2019-10-09 14:00:00,autumn,10.4974,16.4856,0.22,0.11
2019-10-09 15:00:00,autumn,10.439,11.0289,0.22,0.11
2019-10-09 16:00:00,autumn,10.4858,5.0938,0.22,0.11
2019-10-09 17:00:00,autumn,10.7033,0.6468,0.22,0.11
2019-10-09 18:00:00,autumn,11.0924,0.0,0.22,0.11
2019-10-09 19:00:00,autumn,9.1154,0.0,0.22,0.11
2019-10-09 20:00:00,autumn,9.349,0.0,0.22,0.11
2019-10-09 21:00:00,autumn,9.275,0.0,0.18,0.09
2019-10-09 22:00:00,autumn,8.9941,0.0,0.18,0.09
2019-10-09 23:00:00,autumn,8.7138,0.0,0.18,0.09
2019-10-10 00:00:00,autumn,8.3735,0.0,0.18,0.09
2019-10-10 01:00:00,autumn,8.4684,0.0,0.18,0.09
2019-10-10 02:00:00,autumn,8.5606,0.0,0.18,0.09
2019-10-10 03:00:00,autumn,8.7236,0.0,0.18,0.09
2019-10-10 04:00:00,autumn,9.1233,0.0,0.18,0.09
2019-10-10 05:00:00,autumn,9.8845,0.0,0.18,0.09
2019-10-10 06:00:00,autumn,10.7585,0.0,0.18,0.09
2019-10-10 07:00:00,autumn,11.1006,0.4515,0.18,0.09
2019-10-10 08:00:00,autumn,12.9391,3.5225,0.22,0.11
2019-10-10 09:00:00,autumn,11.8699,7.6459,0.22,0.11
2019-10-10 10:00:00,autumn,10.9592,11.8878,0.22,0.11
2019-10-10 11:00:00,autumn,10.472,15.3033,0.22,0.11
2019-10-10 12:00:00,autumn,10.2936,17.04,0.22,0.11
2019-10-10 13:00:00,autumn,10.2614,16.5213,0.22,0.11
2019-10-10 14:00:00,autumn,10.3029,13.6949,0.22,0.11
2019-10-10 15:00:00,autumn,10.415,9.188,0.22,0.11
2019-10-10 16:00:00,autumn,10.635,4.2457,0.22,0.11
2019-10-10 17:00:00,autumn,11.0094,0.5381,0.22,0.11
2019-10-10 18:00:00,autumn,11.5216,0.0,0.22,0.11
2019-10-10 19:00:00,autumn,9.6203,0.0,0.22,0.11
2019-10-10 20:00:00,autumn,9.8742,0.0,0.22,0.11
2019-10-10 21:00:00,autumn,9.7626,0.0,0.18,0.09
2019-10-10 22:00:00,autumn,9.3905,0.0,0.18,0.09
2019-10-10 23:00:00,autumn,8.9754,0.0,0.18,0.09
2019-10-11 00:00:00,autumn,8.48,0.0,0.18,0.09
2019-10-11 01:00:00,autumn,8.4006,0.0,0.18,0.09
2019-10-11 02:00:00,autumn,8.3258,0.0,0.18,0.09
2019-10-11 03:00:00,autumn,8.3478,0.0,0.18,0.09
2019-10-11 04:00:00,autumn,8.6479,0.0,0.18,0.09
2019-10-11 05:00:00,autumn,9.3617,0.0,0.18,0.09
