timestamp,season,demand_kwh,pv_production_kwh,price_buy_eur_kwh,price_sell_eur_kwh
2019-04-08 00:00:00,spring,7.9476,0.0,0.18,0.09
2019-04-08 01:00:00,spring,7.9186,0.0,0.18,0.09
2019-04-08 02:00:00,spring,7.8814,0.0,0.18,0.09
2019-04-08 03:00:00,spring,7.9237,0.0,0.18,0.09
2019-04-08 04:00:00,spring,8.2247,0.0,0.18,0.09
2019-04-08 05:00:00,spring,8.9201,0.0,0.18,0.09
2019-04-08 06:00:00,spring,9.7683,0.9329,0.18,0.09
2019-04-08 07:00:00,spring,10.1276,6.2367,0.18,0.09
2019-04-08 08:00:00,spring,12.0245,13.4908,0.22,0.11
2019-04-08 09:00:00,spring,11.0482,21.2253,0.22,0.11
2019-04-08 10:00:00,spring,10.2548,28.2595,0.22,0.11
2019-04-08 11:00:00,spring,9.8964,33.5073,0.22,0.11
2019-04-08 12:00:00,spring,9.8442,36.0257,0.22,0.11
2019-04-08 13:00:00,spring,9.9216,35.1948,0.22,0.11
2019-04-08 14:00:00,spring,10.0439,30.9414,0.22,0.11
2019-04-08 15:00:00,spring,10.1995,23.8854,0.22,0.11
2019-04-08 16:00:00,spring,10.4205,15.3166,0.22,0.11
2019-04-08 17:00:00,spring,10.7535,7.0016,0.22,0.11
2019-04-08 18:00:00,spring,11.1864,1.0168,0.22,0.11
2019-04-08 19:00:00,spring,9.1767,0.0,0.22,0.11
2019-04-08 20:00:00,spring,9.305,0.0,0.22,0.11
2019-04-08 21:00:00,spring,9.0644,0.0,0.18,0.09
2019-04-08 22:00:00,spring,8.5741,0.0,0.18,0.09
2019-04-08 23:00:00,spring,8.0645,0.0,0.18,0.09
2019-04-09 00:00:00,spring,7.5111,0.0,0.18,0.09
2019-04-09 01:00:00,spring,7.4102,0.0,0.18,0.09
2019-04-09 02:00:00,spring,7.357,0.0,0.18,0.09
2019-04-09 03:00:00,spring,7.441,0.0,0.18,0.09
2019-04-09 04:00:00,spring,7.837,0.0,0.18,0.09
2019-04-09 05:00:00,spring,8.6699,0.0,0.18,0.09
2019-04-09 06:00:00,spring,9.6833,0.9081,0.18,0.09
2019-04-09 07:00:00,spring,10.2171,6.0686,0.18,0.09
2019-04-09 08:00:00,spring,12.2786,13.126,0.22,0.11
2019-04-09 09:00:00,spring,11.439,20.6552,0.22,0.11
2019-04-09 10:00:00,spring,10.7392,27.5127,0.22,0.11
2019-04-09 11:00:00,spring,10.4212,32.6417,0.22,0.11
2019-04-09 12:00:00,spring,10.3514,35.1183,0.22,0.11
2019-04-09 13:00:00,spring,10.3556,34.3292,0.22,0.11
2019-04-09 14:00:00,spring,10.3569,30.1946,0.22,0.11
2019-04-09 15:00:00,spring,10.3569,23.3153,0.22,0.11
2019-04-09 16:00:00,spring,10.4051,14.9518,0.22,0.11
2019-04-09 17:00:00,spring,10.5669,6.8335,0.22,0.11
2019-04-09 18:00:00,spring,10.8492,0.992,0.22,0.11
2019-04-09 19:00:00,spring,8.7261,0.0,0.22,0.11
