timestamp,season,demand_kwh,pv_production_kwh,price_buy_eur_kwh,price_sell_eur_kwh
2019-07-08 00:00:00,summer,8.8476,0.0,0.18,0.09
2019-07-08 01:00:00,summer,8.8186,0.0,0.18,0.09
2019-07-08 02:00:00,summer,8.7814,0.0,0.18,0.09
2019-07-08 03:00:00,summer,8.8237,0.0,0.18,0.09
2019-07-08 04:00:00,summer,9.1247,0.0,0.18,0.09
2019-07-08 05:00:00,summer,9.8201,1.7264,0.18,0.09
2019-07-08 06:00:00,summer,10.6683,7.5436,0.18,0.09
2019-07-08 07:00:00,summer,11.0276,15.0668,0.18,0.09
2019-07-08 08:00:00,summer,12.9245,23.1656,0.22,0.11
2019-07-08 09:00:00,summer,11.9482,31.0085,0.22,0.11
2019-07-08 10:00:00,summer,11.1548,37.8423,0.22,0.11
2019-07-08 11:00:00,summer,12.0964,42.9139,0.22,0.11
2019-07-08 12:00:00,summer,12.0442,45.5061,0.22,0.11
2019-07-08 13:00:00,summer,12.1216,45.0751,0.22,0.11
2019-07-08 14:00:00,summer,12.2439,41.4336,0.22,0.11
2019-07-08 15:00:00,summer,12.3995,34.8947,0.22,0.11
2019-07-08 16:00:00,summer,12.6205,26.3008,0.22,0.11
2019-07-08 17:00:00,summer,12.9535,16.9147,0.22,0.11
2019-07-08 18:00:00,summer,12.0864,8.2215,0.22,0.11
2019-07-08 19:00:00,summer,10.0767,1.8017,0.22,0.11
2019-07-08 20:00:00,summer,10.205,0.0,0.22,0.11
2019-07-08 21:00:00,summer,9.9644,0.0,0.18,0.09
2019-07-08 22:00:00,summer,9.4741,0.0,0.18,0.09
2019-07-08 23:00:00,summer,8.9645,0.0,0.18,0.09
2019-07-09 00:00:00,summer,8.4111,0.0,0.18,0.09
2019-07-09 01:00:00,summer,8.3102,0.0,0.18,0.09
2019-07-09 02:00:00,summer,8.257,0.0,0.18,0.09
2019-07-09 03:00:00,summer,8.341,0.0,0.18,0.09
2019-07-09 04:00:00,summer,8.737,0.0,0.18,0.09
2019-07-09 05:00:00,summer,9.5699,1.6815,0.18,0.09
2019-07-09 06:00:00,summer,10.5833,7.3432,0.18,0.09
2019-07-09 07:00:00,summer,11.1171,14.6608,0.18,0.09
2019-07-09 08:00:00,summer,13.1786,22.5391,0.22,0.11
2019-07-09 09:00:00,summer,12.339,30.1756,0.22,0.11
2019-07-09 10:00:00,summer,11.6392,36.8422,0.22,0.11
2019-07-09 11:00:00,summer,12.6212,41.8053,0.22,0.11
2019-07-09 12:00:00,summer,12.5514,44.3599,0.22,0.11
2019-07-09 13:00:00,summer,12.5556,43.9665,0.22,0.11
2019-07-09 14:00:00,summer,12.5569,40.4336,0.22,0.11
2019-07-09 15:00:00,summer,12.5569,34.0618,0.22,0.11
2019-07-09 16:00:00,summer,12.6051,25.6742,0.22,0.11
2019-07-09 17:00:00,summer,12.7669,16.5087,0.22,0.11
2019-07-09 18:00:00,summer,11.7492,8.021,0.22,0.11
2019-07-09 19:00:00,summer,9.6261,1.7568,0.22,0.11
2019-07-09 20:00:00,summer,9.6905,0.0,0.22,0.11
2019-07-09 21:00:00,summer,9.4426,0.0,0.18,0.09
2019-07-09 22:00:00,summer,9.0025,0.0,0.18,0.09
2019-07-09 23:00:00,summer,8.5951,0.0,0.18,0.09
2019-07-10 00:00:00,summer,8.1765,0.0,0.18,0.09
2019-07-10 01:00:00,summer,8.2425,0.0,0.18,0.09
2019-07-10 02:00:00,summer,8.3636,0.0,0.18,0.09
2019-07-10 03:00:00,summer,8.6103,0.0,0.18,0.09
2019-07-10 04:00:00,summer,9.1393,0.0,0.18,0.09
2019-07-10 05:00:00,summer,10.0609,1.3369,0.18,0.09
2019-07-10 06:00:00,summer,11.1089,5.8054,0.18,0.09
2019-07-10 07:00:00,summer,11.6195,11.5469,0.18,0.09
2019-07-10 08:00:00,summer,13.6024,17.733,0.22,0.11
