timestamp,season,demand_kwh,pv_production_kwh,price_buy_eur_kwh,price_sell_eur_kwh
2019-01-07 00:00:00,winter,9.1476,0.0,0.195,0.0975
2019-01-07 01:00:00,winter,9.1186,0.0,0.195,0.0975
2019-01-07 02:00:00,winter,9.0814,0.0,0.195,0.0975
2019-01-07 03:00:00,winter,9.1237,0.0,0.195,0.0975
2019-01-07 04:00:00,winter,9.4247,0.0,0.195,0.0975
2019-01-07 05:00:00,winter,10.1201,0.0,0.195,0.0975
2019-01-07 06:00:00,winter,10.9683,0.0,0.195,0.0975
2019-01-07 07:00:00,winter,10.5276,0.0,0.195,0.0975
2019-01-07 08:00:00,winter,12.4245,0.4393,0.235,0.1175
2019-01-07 09:00:00,winter,11.4482,5.0816,0.235,0.1175
2019-01-07 10:00:00,winter,10.6548,11.3084,0.235,0.1175
2019-01-07 11:00:00,winter,10.2964,16.5884,0.235,0.1175
2019-01-07 12:00:00,winter,10.2442,18.9609,0.235,0.1175
2019-01-07 13:00:00,winter,10.3216,17.4238,0.235,0.1175
2019-01-07 14:00:00,winter,10.4439,12.3816,0.235,0.1175
2019-01-07 15:00:00,winter,10.5995,5.7185,0.235,0.1175
2019-01-07 16:00:00,winter,10.8205,0.4988,0.235,0.1175
2019-01-07 17:00:00,winter,11.1535,0.0,0.235,0.1175
2019-01-07 18:00:00,winter,12.3864,0.0,0.235,0.1175
2019-01-07 19:00:00,winter,10.3767,0.0,0.235,0.1175
2019-01-07 20:00:00,winter,10.505,0.0,0.235,0.1175
2019-01-07 21:00:00,winter,10.2644,0.0,0.195,0.0975
2019-01-07 22:00:00,winter,9.7741,0.0,0.195,0.0975
2019-01-07 23:00:00,winter,9.2645,0.0,0.195,0.0975
2019-01-08 00:00:00,winter,8.7111,0.0,0.195,0.0975
2019-01-08 01:00:00,winter,8.6102,0.0,0.195,0.0975
2019-01-08 02:00:00,winter,8.557,0.0,0.195,0.0975
2019-01-08 03:00:00,winter,8.641,0.0,0.195,0.0975
2019-01-08 04:00:00,winter,9.037,0.0,0.195,0.0975
2019-01-08 05:00:00,winter,9.8699,0.0,0.195,0.0975
2019-01-08 06:00:00,winter,10.8833,0.0,0.195,0.0975
2019-01-08 07:00:00,winter,10.6171,0.0,0.195,0.0975
2019-01-08 08:00:00,winter,12.6786,0.4274,0.235,0.1175
2019-01-08 09:00:00,winter,11.839,4.9451,0.235,0.1175
