year,mean_p_buy_eur_kwh,std_p_buy_eur_kwh,min_p_buy_eur_kwh,max_p_buy_eur_kwh,zero_price_hours,role_in_study
2022,0.6079,0.2663,0.02,1.74,0,High-Price Crisis (OFAT)
2023,0.2545,0.0712,0.0049,0.59,0,Post-Crisis Market
2021,0.2509,0.1622,0.006,1.0664,0,Crisis Onset Market
2024,0.2148,0.0569,0.0002,0.554,0,Baseline Reference Year
2018,0.1226,0.0297,0.0139,0.3188,0,Weather Benchmark Year
2017,0.1079,0.0329,0.02,0.34,0,Pre-Pandemic Market
2019,0.1046,0.0254,0.002,0.2168,0,Pre-Pandemic Market
2015,0.1046,0.0266,0.0112,0.2891,0,Historical Baseline
2016,0.0856,0.026,0.0219,0.3,0,Historical Low-Price Year
2020,0.0778,0.0293,0.0,0.3251,5,Low-Price Shock (OFAT)
