weather_year,pv_scale,grid_scale,pv_kwp,grid_limit_kw,emergence_target_pct,delta_ssr_pp,rel_shift_pct,max_feasible_ssr_pct,tac_at_max_keur_yr,notes
2014,0.69,0.5,53.8,29.0,U*,n.a.,n.a.,85,702.7,H2 active at unconstrained baseline (SSR0=50.88%) for peak support
2014,0.69,1.0,53.8,58.0,57,-16,-21.9,85,702.6,Feasibility limit at 85% SSR
2014,0.69,1.5,53.8,87.0,57,-16,-21.9,85,702.6,Feasibility limit at 85% SSR
2014,1.0,0.5,77.9,29.0,U*,n.a.,n.a.,100,157.7,H2 active at unconstrained baseline (SSR0=61.03%) for peak support
2014,1.0,1.0,77.9,58.0,69,-4,-5.5,100,157.7,
2014,1.0,1.5,77.9,87.0,69,-4,-5.5,100,157.7,
2014,1.31,0.5,102.1,29.0,U*,n.a.,n.a.,100,40.2,"H2 active at SSR0=67.24%; dropout at [72,74]%, persistent re-entry at 75%"
2014,1.31,1.0,102.1,58.0,76,+3,+4.1,100,40.1,
2014,1.31,1.5,102.1,87.0,76,+3,+4.1,100,40.1,
2018,0.69,0.5,53.8,29.0,U*,n.a.,n.a.,91,756.2,"H2 active at SSR0=55.19%; dropout at [59,60]%, persistent re-entry at 61%"
2018,0.69,1.0,53.8,58.0,61,-12,-16.4,91,756.2,Feasibility limit at 91% SSR
2018,0.69,1.5,53.8,87.0,61,-12,-16.4,91,756.2,Feasibility limit at 91% SSR
2018,1.0,0.5,77.9,29.0,73,0,0.0,100,46.8,
2018,1.0,1.0,77.9,58.0,73,0,0.0,100,46.8,Baseline Reference Scenario
2018,1.0,1.5,77.9,87.0,73,0,0.0,100,46.8,
2018,1.31,0.5,102.1,29.0,80,+7,+9.6,100,26.8,
2018,1.31,1.0,102.1,58.0,81,+8,+11.0,100,26.6,
2018,1.31,1.5,102.1,87.0,81,+8,+11.0,100,26.6,
2007,0.69,0.5,53.8,29.0,63,-10,-13.7,94,738.4,Feasibility limit at 94% SSR
2007,0.69,1.0,53.8,58.0,63,-10,-13.7,94,738.4,Feasibility limit at 94% SSR
2007,0.69,1.5,53.8,87.0,63,-10,-13.7,94,738.4,Feasibility limit at 94% SSR
2007,1.0,0.5,77.9,29.0,76,+3,+4.1,100,37.9,
2007,1.0,1.0,77.9,58.0,76,+3,+4.1,100,37.9,
2007,1.0,1.5,77.9,87.0,76,+3,+4.1,100,37.9,
2007,1.31,0.5,102.1,29.0,83,+10,+13.7,100,18.7,
2007,1.31,1.0,102.1,58.0,84,+11,+15.1,100,18.4,
2007,1.31,1.5,102.1,87.0,84,+11,+15.1,100,18.4,
