year,annual_pv_kwh,specific_yield_kwh_per_kwp,annual_poa_irradiation_kwh_m2,pv_load_ratio,direct_sc_fraction,seasonal_surplus_ratio,peak_residual_kw,norm_pv_load_ratio,norm_direct_sc_fraction,norm_seasonal_surplus_ratio,norm_peak_residual_kw,z_pv_load_ratio,z_direct_sc_fraction,z_seasonal_surplus_ratio,z_peak_residual_kw,dist_centroid,composite_favourability_score,rank_centroid,rank_unfavorable_to_favorable
2014,83219.0180749166,1099.31392,1413.0327799999998,1.5884990334687563,0.4716442310945402,1.1168548023742162,46.0,0.0,0.3293332735660021,0.0,1.0,-1.803882873685341,-0.8623699342599993,-1.991825187008457,1.6318739566179907,3.260069862960027,-6.289951951571788,16,1
2013,83489.68493388951,1104.01629,1421.1313300000002,1.5936655693618311,0.4523810874003858,1.1412844819614454,40.89567061448375,0.025851001351242,0.0,0.1418788459402676,0.3581089620304589,-1.7188578468807407,-2.064136739621411,-1.4838414905459598,-0.6247346113802326,3.1316468002251585,-4.642101465667879,15,2
2008,85432.56957470367,1132.35357,1451.7989100000002,1.6307516879615027,0.4675880388994425,1.1631636490620605,44.151049688807504,0.2114131114137089,0.2599863863167638,0.2689452271134473,0.767486667734821,-1.108536290372781,-1.115422977606903,-1.0288924135592492,0.8144586217300804,2.048165904226788,-4.0673103032690126,10,3
2016,86460.24029808032,1148.33039,1476.4626400000002,1.6503680447579547,0.4731795845026505,1.1771884602553042,43.518458950687496,0.3095644601213109,0.3555825178223858,0.3503963169454971,0.6879357032821808,-0.7857123911596635,-0.7665840755413429,-0.7372645431774784,0.5347921715733666,1.4263789047438498,-2.824353181451851,5,4
2010,86123.0631165617,1137.25735,1456.8167400000002,1.6439319483062051,0.4844438350263963,1.1594881132798087,43.25487970953,0.2773611537833221,0.5481623250517995,0.247599029217728,0.6547894974017591,-0.8916304152772359,-0.0638429974679587,-1.1053204422806888,0.4182645870428253,1.4818094582876815,-2.4790584420687085,7,5
2009,89131.71346400448,1180.7764699999998,1513.5796800000005,1.7013615873420307,0.4795921620054933,1.2217694253365374,45.44,0.5647130094641152,0.4652154611538413,0.6093066253694861,0.92957762830061,0.0534818803606721,-0.3665235816738529,0.1897391595509417,1.384299652015938,1.4455055595494912,-1.507602193778177,6,6
2018,89261.94845552936,1189.6911300000002,1538.85612,1.7038475354215292,0.4749576213857169,1.228889914035812,43.5775170874125,0.5771515656828717,0.3859808119180196,0.6506598783082563,0.6953625140970411,0.0943928130375405,-0.6556579599132931,0.3378005435392861,0.5609015950211995,0.9314060178373148,-0.784366198357666,1,7
2019,87265.15555403176,1160.13577,1497.49138,1.6657324066031292,0.4784710787676189,1.1872613278355102,38.0479815364575,0.386440755387731,0.4460488070224508,0.4088959310106709,0.0,-0.5328630343067358,-0.4364644305153291,-0.5278122460607713,-1.883689331407388,2.073961300696178,0.386549620524552,11,8
2017,91085.4846510016,1212.9037,1562.50021,1.738655510221175,0.4978066993373316,1.2408488108838431,43.58791525447375,0.7513148778522025,0.7766211850183633,0.7201128761447211,0.6966701276430759,0.6672232455756528,0.7698239786188158,0.5864703881348843,0.5654985931985641,1.3044355072450486,1.4580190191307885,4,9
2012,91253.83575584088,1211.09278,1552.6454199999998,1.741869025274667,0.4864416953794158,1.2554273298952512,41.5428667856975,0.7673938490834695,0.5823188417987152,0.8047797030456392,0.4394966215512385,0.7201076557907018,0.0607972114266578,0.8896118988502035,-0.3386111434706707,1.195122660610206,2.009127909538234,3,10
2005,90024.2029991106,1191.87918,1526.77825,1.7183975821986484,0.4805978113931728,1.237799770805475,38.97261707177,0.6499533978350703,0.4824085948480398,0.7024051413379743,0.1162768345611443,0.3338410899557297,-0.3037842868248994,0.5230695300048716,-1.4749107605764284,1.628710610006639,2.0280370937121304,8,11
2006,90767.59845859488,1199.9783700000005,1537.06273,1.7325876435114695,0.4925940465184466,1.2399935969930231,40.956323182345,0.7209540260632882,0.687502812437911,0.7151460995880176,0.3657362793134003,0.5673651316833292,0.444623002855417,0.5686873176703858,-0.5979202947542023,1.0956763899419848,2.1785957469633344,2,12
2020,93008.0960397938,1243.02468,1604.54594,1.7753546494742125,0.5070259587329596,1.2683286907412528,44.469734799825,0.9349407188516504,0.9342387019108764,0.8797061948710387,0.8075626701332768,1.2711763319904337,1.3449845073254667,1.1578790674206174,0.9553483444929088,2.3829072550257515,2.818691562243609,13,13
2015,90401.50728627338,1201.7046,1547.7441399999998,1.7255996317943567,0.510872425021921,1.214727206772436,40.11615160125,0.685989186162782,1.0,0.568407937395856,0.2600811447149431,0.4523643079486522,1.5849534125783615,0.0433053021310856,-0.9693576071399184,1.9126526885094297,3.049980629798018,9,14
2011,93689.2840153077,1247.79777,1606.4808799999998,1.7883572835564874,0.4993155746330431,1.2890417089234445,42.58715532883,1.0,0.8024177449376212,1.0,0.5708203285974729,1.4851590341831542,0.8639579513808111,1.5885795808479386,0.1230656598684707,2.343256481884952,3.814630906543433,12,15
2007,92769.96348927217,1232.90555,1583.99888,1.77080913409694,0.5105629608615208,1.260246173235419,39.822275294075,0.9121970223803896,0.9947092309223188,0.8327658225290635,0.2231249544693686,1.1963713611566165,1.5656469192394318,0.9898135344824548,-1.0992794328325417,2.4638792206626,4.851111247711044,14,16
